Link,originalPrice,salePrice,petiteFlag,curveFlag,maternityFlag,tallFlag,extraTallFlag,XXS,XS,S,M,L,XL,XXL,XXXL,Double_Zero,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28
http://www.lulus.com/products/obey-terri-ivory-and-black-print-dress/295422.html,54.00,54.00,N,N,N,N,N,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/grommet-expectations-olive-green-swing-dress/295752.html,42.00,42.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/maxin-relaxin-multi-print-maxi-dress/150242.html,46.00,46.00,N,N,N,N,N,na,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/easy-honey-ivory-slip-dress/236306.html,52.00,52.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/cocktail-hour-black-wrap-dress/293322.html,48.00,48.00,N,N,N,N,N,na,N,N,N,Y,N,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/over-the-moon-washed-grey-swing-dress/294642.html,42.00,42.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/pinnacle-of-prestige-ivory-lace-midi-dress/231994.html,64.00,64.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/lulus-exclusive-x-marks-the-spot-black-midi-dress/179802.html,44.00,44.00,N,N,N,N,N,na,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/in-blossom-blue-floral-print-maxi-dress/285102.html,59.00,59.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/turn-back-time-blush-pink-lace-two-piece-dress/290642.html,62.00,62.00,N,N,N,N,N,na,N,N,N,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/oak-and-elm-navy-blue-lace-maxi-dress/260882.html,78.00,78.00,N,N,N,N,N,na,Y,N,N,N,N,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/fun-loving-light-pink-skater-dress/290172.html,49.00,49.00,N,N,N,N,N,na,N,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/home-before-daylight-red-dress/127386.html,42.00,42.00,N,N,N,N,N,na,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/lulus-exclusive-shifting-dears-ivory-long-sleeve-dress/154058.html,44.00,44.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/lulus-exclusive-test-drive-neon-pink-dress/148586.html,45.00,45.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/turn-back-time-ivory-lace-two-piece-dress/252978.html,62.00,62.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/shield-and-sword-black-sleeveless-maxi-dress/222674.html,40.00,40.00,N,N,N,N,N,na,na,N,Y,N,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/royal-luxe-ivory-print-dress/163842.html,47.00,47.00,N,N,N,N,N,na,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/lulus-exclusive-shifting-dears-black-long-sleeve-dress/173986.html,44.00,44.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/mumbai-the-way-washed-olive-green-shift-dress/290982.html,49.00,49.00,N,N,N,N,N,na,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/rvca-thievery-black-dress/281182.html,39.00,39.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/moonlight-serenade-ivory-strapless-maxi-dress/278732.html,82.00,82.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/before-eyelet-you-go-ivory-lace-off-the-shoulder-dress/293702.html,76.00,76.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/rvca-sucker-punch-2-blue-swing-dress/280992.html,45.00,45.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/fluidity-brown-wrap-dress/286402.html,41.00,41.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/dream-vacation-ivory-and-blue-print-midi-dress/281532.html,44.00,44.00,N,N,N,N,N,na,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/playing-fleur-keeps-ivory-floral-print-maxi-dress/286202.html,68.00,68.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/garden-grove-pink-floral-print-maxi-dress/290942.html,84.00,84.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/capital-city-washed-olive-green-midi-wrap-dress/291592.html,48.00,48.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/black-swan-liana-peach-dress/286332.html,71.00,71.00,N,N,N,N,N,na,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/garden-district-navy-blue-wrap-maxi-dress/276782.html,68.00,68.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/shift-and-shout-black-shift-dress/283082.html,44.00,44.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/coast-is-clear-ivory-backless-maxi-dress/279852.html,74.00,74.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/seawall-ivory-and-navy-blue-print-shift-dress/227874.html,48.00,48.00,N,N,N,N,N,na,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/tie-breaker-blue-chambray-lace-up-dress/281522.html,46.00,46.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/method-to-my-grandness-black-shirt-dress/212506.html,34.00,34.00,N,N,N,N,N,na,na,na,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/o-neill-oak-black-floral-print-dress/285082.html,49.50,49.50,N,N,N,N,N,na,N,N,N,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/keepsake-high-rise-light-grey-strapless-midi-dress/292782.html,200.00,200.00,N,N,N,N,N,Y,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/capital-city-charcoal-grey-midi-wrap-dress/292022.html,48.00,48.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/bb-dakota-larelle-navy-blue-lace-dress/279922.html,91.00,91.00,N,N,N,N,N,na,na,na,na,na,na,na,na,na,N,N,N,Y,N,Y,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/heartbeat-song-black-and-navy-blue-backless-lace-dress/211018.html,54.00,54.00,N,N,N,N,N,na,N,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/garden-grove-blue-floral-print-maxi-dress/291362.html,84.00,84.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/catch-my-drift-black-bodycon-dress/292062.html,46.00,46.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/psyche-dahlia-blue-and-pink-floral-print-maxi-dress/292802.html,132.00,132.00,N,N,N,N,N,na,Y,Y,Y,N,N,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/made-you-look-brown-swing-dress/291352.html,34.00,34.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/lulus-exclusive-love-the-limelight-black-bodycon-dress/188122.html,38.00,38.00,N,N,N,N,N,na,Y,Y,Y,N,N,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/jack-by-bb-dakota-nellie-royal-blue-dress/290332.html,61.00,61.00,N,N,N,N,N,na,na,na,na,na,na,na,na,na,Y,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/queen-sweep-ivory-dress/149762.html,40.00,40.00,N,N,N,N,N,na,Y,Y,N,N,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/cloud-server-blue-tie-dye-dress/292652.html,36.00,36.00,N,N,N,N,N,na,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/break-the-spell-black-dress/233226.html,48.00,48.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/catch-my-drift-blush-pink-bodycon-dress/292052.html,46.00,46.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/bandita-midnight-blue-print-halter-dress/292682.html,39.00,39.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/method-to-my-grandness-taupe-shirt-dress/213066.html,34.00,34.00,N,N,N,N,N,na,na,na,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/happy-as-can-be-wine-red-lace-high-low-dress/281742.html,52.00,52.00,N,N,N,N,N,na,N,N,N,Y,N,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/fun-loving-slate-blue-skater-dress/290182.html,49.00,49.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/on-broadway-beige-midi-dress/284632.html,52.00,52.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/graceful-dancer-ivory-lace-two-piece-dress/278642.html,69.00,69.00,N,N,N,N,N,na,N,N,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/making-memories-green-midi-dress/283532.html,55.00,55.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/catch-my-drift-taupe-bodycon-dress/291662.html,46.00,46.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/catch-my-drift-ivory-bodycon-dress/292072.html,46.00,46.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/bright-morning-navy-blue-paisley-print-maxi-dress/290462.html,49.00,49.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/desert-villa-black-tie-dye-maxi-dress/290132.html,44.00,44.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/love-for-lanai-navy-blue-floral-print-two-piece-maxi-dress/285732.html,89.00,89.00,N,N,N,N,N,na,Y,Y,N,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/your-love-black-midi-dress/293362.html,49.00,49.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/friday-i-m-in-love-charcoal-grey-maxi-dress/290852.html,54.00,54.00,N,N,N,N,N,na,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/billabong-last-minute-heather-grey-dress/230314.html,36.95,36.95,N,N,N,N,N,na,N,N,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/shirt-and-sweet-blue-chambray-shirt-dress/252898.html,54.00,54.00,N,N,N,N,N,na,N,N,N,Y,N,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/your-love-red-midi-dress/293342.html,49.00,49.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/made-you-look-navy-blue-swing-dress/291372.html,34.00,34.00,N,N,N,N,N,na,N,Y,Y,Y,N,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/dee-elle-aegean-islands-blue-and-ivory-print-dress/216546.html,49.00,49.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/where-the-wind-blows-olive-green-maxi-dress/291402.html,72.00,72.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/obey-ellis-black-baseball-t-shirt-dress/290562.html,71.00,71.00,N,N,N,N,N,N,N,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/where-the-wind-blows-royal-blue-maxi-dress/291412.html,72.00,72.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/obey-jetset-washed-blush-shirt-dress/291032.html,81.00,81.00,N,N,N,N,N,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/mumbai-the-way-washed-blue-shift-dress/290962.html,49.00,49.00,N,N,N,N,N,na,N,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/your-love-royal-blue-midi-dress/292672.html,49.00,49.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
